StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,prolific_id,prolific_id_timer_First Click,prolific_id_timer_Last Click,prolific_id_timer_Page Submit,prolific_id_timer_Click Count,TestQ1,TestQ2,TestTimer1_First Click,TestTimer1_Last Click,TestTimer1_Page Submit,TestTimer1_Click Count,TestQ3,TestTimer2_First Click,TestTimer2_Last Click,TestTimer2_Page Submit,TestTimer2_Click Count,keystroke_log
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"What is your Prolific ID?
Please note that this response should auto-fill with the correct ID",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does it mean that the intercept of the line is 112.6?,What does it mean that the slope for income is -1.1?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does it mean that the slope for temperature is 1.18?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,keystroke_log
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_FIRST_CLICK""}","{""ImportId"":""QID7_LAST_CLICK""}","{""ImportId"":""QID7_PAGE_SUBMIT""}","{""ImportId"":""QID7_CLICK_COUNT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""keystroke_log""}"
2026-02-12 10:39:03,2026-02-12 10:40:44,0,128.237.82.150,100,101,1,2026-02-12 10:40:45,R_6mVKZ7bL0qkIKO6,,,,,40.4442,-79.9557,anonymous,EN,p1,0,0,1.644,0,"when income is 0, the model predicts 112.6 murders per million people",I'm not sure! Something about the rate of change decreasing as income increases.,35.504,58.97,76.401,2,Again I'm not sue about slope. I think it's showing that temperature and murder rates are positively correlated.,1.535,1.535,22.027,1,"{""data"":[{""qid"":""QID5"",""keypresses"":70,""pastes"":0,""copies"":0,""keystroke_order"":[""Meta"",""w"",""h"",""e"",""n"","" "",""i"",""n"",""c"",""o"",""e"",""m"","" "",""i"",""s"","" "",""0"","","","" "",""t"",""h"",""e"","" "",""m"",""o"",""d"",""e"",""l"","" "",""p"",""r"",""e"",""d"",""i"",""c"",""t"",""s"","" "",""1"",""1"",""2"",""."",""6"","" "",""m"",""u"",""r"",""d"",""e"",""r"",""s"","" "",""p"",""e"",""r"","" "",""m"",""i"",""l"",""l"",""i"",""o"",""n"","" "",""p"",""e"",""o"",""p"",""l"",""e""],""text"":""when income is 0, the model predicts 112.6 murders per million people""},{""qid"":""QID6"",""keypresses"":83,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""i"",""'"",""m"","" "",""n"",""o"",""t"","" "",""s"",""u"",""r"",""e"",""!"",""Shift"","" "",""Shift"",""s"",""o"",""m"",""e"",""t"",""h"",""i"",""g"",""n"","" "",""a"",""b"",""o"",""u"",""t"","" "",""t"",""e"",""h"","" "",""r"",""a"",""t"",""e"","" "",""f"",""o"","" "",""c"",""h"",""a"",""n"",""g"",""e"","" "",""d"",""e"",""c"",""r"",""e"",""a"",""s"",""i"",""n"",""g"","" "",""a"",""s"","" "",""i"",""n"",""c"",""o"",""m"",""e"","" "",""i"",""n"",""c"",""r"",""e"",""a"",""s"",""e"",""s"","".""],""text"":""I'm not sure! Something about the rate of change decreasing as income increases.""},{""qid"":""QID11"",""keypresses"":117,""pastes"":0,""copies"":0,""keystroke_order"":[""A"",""Shift"",""g"",""a"",""i"",""n"","" "",""Shift"",""i"",""'"",""m"","" "",""n"",""o"",""t"","" "",""s"",""u"",""e"","" "",""a"",""b"",""o"",""u"",""t"","" "",""s"",""l"",""o"",""p"",""e"",""."","" "",""Shift"",""i"","" "",""h"",""t"",""i"",""n"",""k"","" "",""i"",""t"",""'"",""s"","" "",""s"",""h"",""o"",""w"",""i"",""n"",""g"","" "",""t"",""h"",""a"",""t"","" "",""t"",""e"",""m"",""e"",""p"",""r"",""a"",""t"",""u"",""r"",""e"","" "",""a"",""n"",""d"","" "",""m"",""u"",""r"",""t"",""d"",""Backspace"",""e"",""r"","" "",""r"",""a"",""t"",""e"",""s"","" "",""a"",""r"",""e"","" "",""p"",""o"",""s"",""i"",""t"",""i"",""v"",""e"",""l"",""y"","" "",""c"",""o"",""r"",""r"",""e"",""l"",""a"",""t"",""e"",""d"","".""],""text"":""Again I'm not sue about slope. I think it's showing that temperature and murder rates are positively correlated.""}]}"
2026-02-12 10:54:28,2026-02-12 10:55:57,0,128.237.82.150,100,88,1,2026-02-12 10:55:57,R_6tgmdhCkeb5v2W5,,,,,40.4442,-79.9557,anonymous,EN,p2,0,0,1.281,0,"112.6 means that if a state had an average family income of $0 (i.e., 0 thousand dollars), the predicted murder rate would be 112.6.","For each additional $1,000 in average family income, the predicted murder rate decreases by 1.1 units.",3.778,44.461,45.733,13,"For every 1-unit increase in temperature, the predicted murder rate increases by 1.18 units, on average.",6.466,34.298,38.985,6,"{""data"":[{""qid"":""QID5"",""keypresses"":2,""pastes"":1,""copies"":0,""keystroke_order"":[""paste"",""Meta"",""1""],""text"":""112.6 means that if a state had an average family income of $0 (i.e., 0 thousand dollars), the predicted murder rate would be 112.6.""},{""qid"":""QID6"",""keypresses"":1,""pastes"":1,""copies"":0,""keystroke_order"":[""paste"",""Meta""],""text"":""For each additional $1,000 in average family income, the predicted murder rate decreases by 1.1 units.""},{""qid"":""QID11"",""keypresses"":16,""pastes"":1,""copies"":0,""keystroke_order"":[""paste"",""Meta"",""m"",""i"",""r"",""Backspace"",""Backspace"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e""],""text"":""For every 1-unit increase in temperature, the predicted murder rate increases by 1.18 units, on average.""}]}"
2026-02-12 10:56:10,2026-02-12 10:57:13,0,128.237.82.150,100,62,1,2026-02-12 10:57:13,R_3rYSCCvSGaKLG5F,,,,,40.4442,-79.9557,anonymous,EN,p3,0,0,1.536,0,"If a state had an average family income of $0 (i.e., 0 thousand dollars), the predicted murder rate would be 112.6.","For each additional $1,000 in average family income, the predicted murder rate decreases by 1.1 units.",5.646,44.561,45.692,11,"When temp increases by 1, murder rate increases by 1.18.",1.382,1.382,14.241,1,"{""data"":[{""qid"":""QID5"",""keypresses"":7,""pastes"":1,""copies"":0,""keystroke_order"":[""paste"",""Meta"",""Shift"",""Backspace"",""Delete"",""Delete"",""I"",""Shift""],""text"":""If a state had an average family income of $0 (i.e., 0 thousand dollars), the predicted murder rate would be 112.6.""},{""qid"":""QID6"",""keypresses"":2,""pastes"":1,""copies"":0,""keystroke_order"":[""Meta"",""paste"",""Meta""],""text"":""For each additional $1,000 in average family income, the predicted murder rate decreases by 1.1 units.""},{""qid"":""QID11"",""keypresses"":57,""pastes"":0,""copies"":0,""keystroke_order"":[""W"",""Shift"",""h"",""e"",""n"","" "",""t"",""e"",""m"",""p"","" "",""i"",""n"",""c"",""r"",""e"",""a"",""s"",""e"",""s"","" "",""b"",""y"","" "",""1"","","","" "",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"","" "",""i"",""c"",""n"",""r"",""e"",""a"",""s"",""e"",""s"","" "",""b"",""y"","" "",""1"",""."",""1"",""8"","".""],""text"":""When temp increases by 1, murder rate increases by 1.18.""}]}"
2026-02-12 10:57:19,2026-02-12 10:58:06,0,128.237.82.150,100,46,1,2026-02-12 10:58:07,R_31ZUwnT27ePKBpZ,,,,,40.4442,-79.9557,anonymous,EN,p4,0,0,1.43,0,"When income is 0, temperature is 113.","When income goes up by 1, murder rate goes down by 1.1",1.294,23.461,24.343,3,"When temp increases by 1 degree F, murder rate goes up by 1.18 murders per million people.",1.519,1.519,20.196,1,"{""data"":[{""qid"":""QID5"",""keypresses"":38,""pastes"":0,""copies"":0,""keystroke_order"":[""W"",""Shift"",""h"",""e"",""n"","" "",""i"",""n"",""c"",""o"",""m"",""e"","" "",""i"",""s"","" "",""0"","","","" "",""t"",""e"",""m"",""p"",""e"",""r"",""a"",""t"",""u"",""r"",""e"","" "",""i"",""s"","" "",""1"",""1"",""3"","".""],""text"":""When income is 0, temperature is 113.""},{""qid"":""QID6"",""keypresses"":75,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""w"",""h"",""e"",""n"","" "",""i"",""n"",""c"",""r"",""Backspace"",""o"",""m"",""e"","" "",""g"",""o"",""e"",""s"","" "",""u"",""p"","" "",""b"",""y"","" "",""1"","","","" "",""t"",""e"",""m"",""Backspace"",""Backspace"",""Backspace"",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"","" "",""g"",""o"",""e"",""s"","" "",""u"",""p"","" "",""b"",""y"","" "",""Backspace"",""Backspace"",""Backspace"",""Backspace"",""Backspace"",""Backspace"",""d"",""o"",""w"",""n"","" "",""b"",""y"","" "",""1"",""."",""1""],""text"":""When income goes up by 1, murder rate goes down by 1.1""},{""qid"":""QID11"",""keypresses"":101,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""t"",""Backspace"",""Shift"",""w"",""h"",""e"",""n"","" "",""t"",""e"",""m"",""p"","" "",""i"",""n"",""c"",""r"",""e"",""a"",""s"",""e"",""s"","" "",""b"",""y"","" "",""1"",""d"","" "",""e"",""g"",""e"",""r"",""e"","" "",""F"",""Shift"","","","" "",""m"",""u"",""r"",""d"",""e"",""r"",""a"",""Backspace"","" "",""r"",""a"",""t"",""e"","" "",""g"",""o"",""e"",""s"","" "",""u"",""b"","" "",""Backspace"",""Backspace"",""p"","" "",""b"",""y"","" "",""1"",""."",""1"",""8"","" "",""m"",""u"",""r"",""d"",""e"",""r"",""s"","" "",""e"",""p"",""r"","" "",""m"",""i"",""l"",""l"",""i"",""o"",""n"","" "",""p"",""e"",""o"",""p"",""l"",""e"","".""],""text"":""When temp increases by 1 degree F, murder rate goes up by 1.18 murders per million people.""}]}"
2026-02-12 10:58:14,2026-02-12 11:01:08,0,128.237.82.150,100,174,1,2026-02-12 11:01:09,R_1JOPOPTGBI2IzOI,,,,,40.4442,-79.9557,anonymous,EN,p5,0,0,1.391,0,"When income is 0, murder rate is 112.6",When income goes up by 1 murder rate decreases by 1.1,1.533,1.533,135.18,1,"For every 1-unit increase in temperature, the predicted value of the response variable increases by 1.18 units, on average.",1.611,33.16,34.788,2,"{""data"":[{""qid"":""QID5"",""keypresses"":39,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""w"",""h"",""e"",""n"","" "",""i"",""n"",""c"",""o"",""m"",""e"","" "",""i"",""s"","" "",""0"","","","" "",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"","" "",""i"",""s"","" "",""1"",""1"",""2"",""."",""6""],""text"":""When income is 0, murder rate is 112.6""},{""qid"":""QID6"",""keypresses"":63,""pastes"":0,""copies"":0,""keystroke_order"":[""Tab"",""W"",""Shift"",""h"",""e"",""n"","" "",""i"",""n"",""c"",""o"",""e"",""m"","" "",""g"",""o"",""e"",""s"","" "",""u"",""p"","" "",""b"",""y"","" "",""2"",""Backspace"",""1"","" "",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"","" "",""i"",""n"",""c"",""Backspace"",""Backspace"",""Backspace"",""d"",""e"",""c"",""r"",""e"",""a"",""s"",""e"",""s"","" "",""b"",""y"","" "",""1"",""."",""1""],""text"":""When income goes up by 1 murder rate decreases by 1.1""},{""qid"":""QID11"",""keypresses"":37,""pastes"":1,""copies"":0,""keystroke_order"":[""H"",""Shift"",""i"",""Backspace"",""Backspace"",""Backspace"",""Shift"",""a"",""s"","" "",""t"",""e"",""m"",""p"",""e"",""r"",""a"",""t"",""u"",""r"",""e"","" "",""g"",""o"",""e"",""s"","" "",""u"",""p"","" "",""b"",""y"","" "",""1"",""Meta"",""Meta"",""paste"",""Meta""],""text"":""For every 1-unit increase in temperature, the predicted value of the response variable increases by 1.18 units, on average.""}]}"
2026-02-12 11:01:24,2026-02-12 11:02:26,0,128.237.82.150,100,61,1,2026-02-12 11:02:27,R_5dQb2CJdLPuE5Kg,,,,,40.4442,-79.9557,anonymous,EN,p6,1.365,1.365,1.723,1,"The intercept of 112.6 means that when the murder rate is 0, the model predicts an average family income of $112.6 thousand (or $112,600).","The slope of −1.1 means that for each increase of 1 unit in murder rate, the model predicts that the average family income decreases by 1.1 thousand dollars (or $1,100).",1.868,46.935,49.09,8,"The slope of 1.18 for temperature means that for each increase of 1 degree in temperature, the model predicts the response variable will increase by 1.18 units, on average.",1.469,9.086,9.941,5,"{""data"":[{""qid"":""QID5"",""keypresses"":3,""pastes"":1,""copies"":0,""keystroke_order"":[""Shift"",""Meta"",""paste"",""Meta""],""text"":""The intercept of 112.6 means that when the murder rate is 0, the model predicts an average family income of $112.6 thousand (or $112,600).""},{""qid"":""QID6"",""keypresses"":2,""pastes"":1,""copies"":0,""keystroke_order"":[""Meta"",""paste"",""Meta""],""text"":""The slope of −1.1 means that for each increase of 1 unit in murder rate, the model predicts that the average family income decreases by 1.1 thousand dollars (or $1,100).""},{""qid"":""QID11"",""keypresses"":2,""pastes"":1,""copies"":0,""keystroke_order"":[""Meta"",""paste"",""Meta""],""text"":""The slope of 1.18 for temperature means that for each increase of 1 degree in temperature, the model predicts the response variable will increase by 1.18 units, on average.""}]}"
2026-02-12 11:02:40,2026-02-12 11:03:00,0,128.237.82.150,100,19,1,2026-02-12 11:03:05,R_7C8BX9oXEAwR5pc,,,,,40.4442,-79.9557,anonymous,EN,p7,0.797,0.797,1.517,1,I don't know,I'm not sure. There's a decrease?,1.222,11.306,11.861,3,IDK,0.139,1.356,2.894,2,"{""data"":[{""qid"":""QID5"",""keypresses"":13,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""i"","" "",""d"",""o"",""n"",""'"",""t"","" "",""k"",""n"",""o"",""w""],""text"":""I don't know""},{""qid"":""QID6"",""keypresses"":37,""pastes"":0,""copies"":0,""keystroke_order"":[""Tab"",""Shift"",""i"",""'"",""m"","" "",""n"",""o"",""t"","" "",""s"",""u"",""r"",""e"",""."","" "",""Shift"",""t"",""h"",""e"",""r"",""e"",""'"",""s"","" "",""a"","" "",""d"",""e"",""c"",""r"",""e"",""a"",""s"",""e"",""?"",""Shift""],""text"":""I'm not sure. There's a decrease?""},{""qid"":""QID11"",""keypresses"":4,""pastes"":0,""copies"":0,""keystroke_order"":[""I"",""D"",""K"",""Shift""],""text"":""IDK""}]}"
2026-02-12 11:03:14,2026-02-12 11:03:46,0,128.237.82.150,100,32,1,2026-02-12 11:03:47,R_3S0dHwwNfjj1EZz,,,,,40.4442,-79.9557,anonymous,EN,p8,0,0,1.53,0,The murder rate starts at 112.6,Slope decreases by 1.1,1.661,1.661,25.053,1,I'm not sure,1.262,1.262,3.384,1,"{""data"":[{""qid"":""QID5"",""keypresses"":55,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""h"",""e"",""l"",""l"",""o"","" "",""w"",""o"",""r"",""l"",""d"",""!"",""Shift"",""Meta"",""a"",""Backspace"",""Shift"",""t"",""h"",""e"","" "",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"","" "",""s"",""t"",""a"",""r"",""t"",""s"","" "",""a"",""t"","" "",""1"",""1"",""w"",""."",""6"",""Backspace"",""Backspace"",""Backspace"",""2"",""."",""6""],""text"":""The murder rate starts at 112.6""},{""qid"":""QID6"",""keypresses"":24,""pastes"":0,""copies"":0,""keystroke_order"":[""Tab"",""Shift"",""s"",""l"",""o"",""e"",""p"","" "",""d"",""e"",""c"",""r"",""e"",""a"",""s"",""e"",""s"","" "",""b"",""y"","" "",""1"",""."",""1""],""text"":""Slope decreases by 1.1""},{""qid"":""QID11"",""keypresses"":13,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""i"",""'"",""m"","" "",""n"",""o"",""t"","" "",""s"",""u"",""r"",""e""],""text"":""I'm not sure""}]}"
2026-02-12 11:04:17,2026-02-12 11:05:12,0,128.237.82.150,100,55,1,2026-02-12 11:05:12,R_7teigVfunfdM3GF,,,,,40.4442,-79.9557,anonymous,EN,p9,1.182,1.182,2.721,1,"So, 112.6 means that if a state had an average family income of $0 (i.e., 0 thousand dollars), the predicted murder rate would be 112.6.","The slope tells us how the predicted murder rate changes when income increases by one unit (one unit = $1,000 since income is in thousands).",1.444,41.343,42.283,2,"For every 1-unit increase in temperature, the predicted value of the response variable increases by 1.18 units, on average.",6.876,6.876,7.814,1,"{""data"":[{""qid"":""QID5"",""keypresses"":4,""pastes"":1,""copies"":0,""keystroke_order"":[""Meta"",""paste"",""Meta"",""Meta"",""Meta""],""text"":""So, 112.6 means that if a state had an average family income of $0 (i.e., 0 thousand dollars), the predicted murder rate would be 112.6.""},{""qid"":""QID6"",""keypresses"":1,""pastes"":1,""copies"":0,""keystroke_order"":[""paste"",""Meta""],""text"":""The slope tells us how the predicted murder rate changes when income increases by one unit (one unit = $1,000 since income is in thousands).""},{""qid"":""QID11"",""keypresses"":1,""pastes"":1,""copies"":0,""keystroke_order"":[""paste"",""Meta""],""text"":""For every 1-unit increase in temperature, the predicted value of the response variable increases by 1.18 units, on average.""}]}"
2026-02-12 11:05:21,2026-02-12 11:06:07,0,128.237.82.150,100,46,1,2026-02-12 11:06:08,R_7f9aWmCMtpb2pXV,,,,,40.4442,-79.9557,anonymous,EN,p10,0,0,1.644,0,When income goes up murder rate goes down,When income is 0 murder rate is 1.1,1.024,14.691,29.011,4,"When temperature increases so does murder rate, by 1.18",1.261,1.261,14.799,1,"{""data"":[{""qid"":""QID5"",""keypresses"":56,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""w"",""h"",""e"",""n"","" "",""i"",""n"",""c"",""o"",""e"",""m"","" "",""g"",""o"",""e"",""s"","" "",""u"",""p"","" "",""t"",""e"",""m"",""p"",""e"",""r"",""a"",""t"",""u"",""r"",""e"","" "",""g"",""o"",""e"",""s"","" "",""n"",""Backspace"",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"",""Meta"",""d"",""o"",""w"",""n""],""text"":""When income goes up murder rate goes down""},{""qid"":""QID6"",""keypresses"":36,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""w"",""h"",""e"",""n"","" "",""i"",""n"",""c"",""o"",""m"",""e"","" "",""i"",""s"","" "",""0"","" "",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"","" "",""i"",""s"","" "",""1"",""."",""1""],""text"":""When income is 0 murder rate is 1.1""},{""qid"":""QID11"",""keypresses"":68,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""i"","" "",""d"",""o"",""n"",""'"",""Meta"",""Shift"",""w"",""h"",""e"",""n"","" "",""t"",""e"",""m"",""p"",""e"",""r"",""a"",""t"",""u"",""r"",""e"","" "",""i"",""n"",""c"",""r"",""e"",""a"",""s"",""e"",""s"","" "",""s"",""o"","" "",""d"",""o"",""e"",""s"","" "",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"","","","" "",""b"",""y"","" "",""1"",""."",""1"",""1"",""8"",""Backspace"",""Backspace"",""8""],""text"":""When temperature increases so does murder rate, by 1.18""}]}"
2026-02-12 11:08:34,2026-02-12 11:09:15,0,128.237.82.150,100,41,1,2026-02-12 11:09:15,R_5fBIJYs8TiqHG25,,,,,40.4442,-79.9557,anonymous,EN,p11,0,0,1.335,0,When income is 0 that's the murder rate,"When income increases by 1, murder rate drops by 1.1 per million.",1.704,1.704,18.325,1,"When temperature increases by 1, murder rate per million goes up by 1.18",1.321,1.321,20.925,1,"{""data"":[{""qid"":""QID5"",""keypresses"":40,""pastes"":0,""copies"":0,""keystroke_order"":[""Shift"",""w"",""h"",""e"",""n"","" "",""i"",""n"",""c"",""o"",""e"",""m"","" "",""i"",""s"","" "",""0"","" "",""t"",""h"",""a"",""t"",""'"",""s"","" "",""t"",""h"",""e"","" "",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e""],""text"":""When income is 0 that's the murder rate""},{""qid"":""QID6"",""keypresses"":69,""pastes"":0,""copies"":0,""keystroke_order"":[""Tab"",""Shift"",""w"",""h"",""e"",""n"","" "",""i"",""n"",""c"",""o"",""m"",""e"","" "",""i"",""c"",""n"",""r"",""e"",""a"",""s"",""e"",""s"","" "",""b"",""y"","" "",""1"","","","" "",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"","" "",""d"",""r"",""o"",""p"",""s"","" "",""b"",""y"","" "",""1"",""."",""1"","" "",""b"",""Backspace"",""e"",""p"",""r"","" "",""m"",""i"",""l"",""l"",""i"",""o"",""n"","".""],""text"":""When income increases by 1, murder rate drops by 1.1 per million.""},{""qid"":""QID11"",""keypresses"":76,""pastes"":0,""copies"":0,""keystroke_order"":[""I"",""Shift"",""Backspace"",""Shift"",""w"",""h"",""e"",""n"","" "",""t"",""e"",""m"",""e"",""p"",""r"",""a"",""t"",""u"",""r"",""e"","" "",""i"",""n"",""c"",""r"",""e"",""a"",""s"",""e"",""s"","" "",""b"",""y"","" "",""1"","","","" "",""m"",""u"",""r"",""d"",""e"",""r"","" "",""r"",""a"",""t"",""e"","" "",""e"",""p"",""r"","" "",""m"",""i"",""l"",""l"",""i"",""o"",""n"","" "",""g"",""o"",""e"",""s"","" "",""u"",""p"","" "",""b"",""y"","" "",""1"",""."",""1"",""8""],""text"":""When temperature increases by 1, murder rate per million goes up by 1.18""}]}"
2026-02-12 11:09:23,2026-02-12 11:10:49,0,128.237.82.150,100,86,1,2026-02-12 11:10:50,R_1X7nEJJK0EzIllq,,,,,40.4442,-79.9557,anonymous,EN,p12,0.735,0.735,1.56,1,It’s the predicted murder rate for a state with an average income of $0 thousand dollars.,"The slope of –1.1 means that for each additional $1,000 increase in average family income, the predicted murder rate decreases by 1.1 murders per 1 million residents, on average.",1.56,59.442,75.701,10,I don't know.,1.507,1.91,8.197,3,"{""data"":[{""qid"":""QID5"",""keypresses"":2,""pastes"":1,""copies"":0,""keystroke_order"":[""paste"",""Meta"",""Backspace""],""text"":""It’s the predicted murder rate for a state with an average income of $0 thousand dollars.""},{""qid"":""QID6"",""keypresses"":5,""pastes"":1,""copies"":2,""keystroke_order"":[""copy"",""Meta"",""copy"",""Meta"",""Meta"",""paste"",""Meta"",""Backspace""],""text"":""The slope of –1.1 means that for each additional $1,000 increase in average family income, the predicted murder rate decreases by 1.1 murders per 1 million residents, on average.""},{""qid"":""QID11"",""keypresses"":16,""pastes"":0,""copies"":1,""keystroke_order"":[""copy"",""Meta"",""Meta"",""I"",""Shift"","" "",""d"",""o"",""n"",""'"",""t"","" "",""k"",""n"",""o"",""w"","".""],""text"":""I don't know.""}]}"
